feature,importance_mean,importance_std
shot_angle,0.03101540616246497,0.014748585790608303
distance_sq,0.008802521008403338,0.005447715698956068
shot_clock,0.006018907563025211,0.015938342659086342
player_zone_fg_pct,0.005192577030812315,0.0052420199705928055
dist_angle_ix,0.001572128851540619,0.015130547673463867
score_diff_abs,-0.00021358543417367425,0.013640523233331016
late_clock,-0.0008263305322128878,0.0011664657286582119
log1p_distance,-0.0023669467787114816,0.002024354651171846
period,-0.0026470588235294134,0.009531133902950815
shot_distance,-0.006242997198879552,0.01615265983485212
game_seconds_remaining,-0.006859243697478987,0.013140033238280885
